timeInstant,currentProduction
2018-08-01T05:15:08+00:00,12869
2018-08-01T05:20:05+00:00,7945
2018-08-01T05:25:04+00:00,10057
2018-08-01T05:30:05+00:00,8536
2018-08-01T05:35:05+00:00,8703
2018-08-01T05:40:04+00:00,9199
2018-08-01T05:45:05+00:00,7540
2018-08-01T05:50:05+00:00,7913
2018-08-01T05:55:05+00:00,6361
2018-08-01T06:00:06+00:00,6738
2018-08-01T06:05:08+00:00,8247
2018-08-01T06:10:05+00:00,9126
2018-08-01T06:15:05+00:00,11279
2018-08-01T06:20:05+00:00,10509
2018-08-01T06:25:07+00:00,12167
2018-08-01T06:30:05+00:00,15964
2018-08-01T06:35:06+00:00,14033
2018-08-01T06:40:05+00:00,20659
2018-08-01T06:45:07+00:00,18300
2018-08-01T06:50:06+00:00,29424
2018-08-01T06:55:05+00:00,30233
2018-08-01T07:00:05+00:00,47338
2018-08-01T07:05:09+00:00,49930
2018-08-01T07:10:05+00:00,54299
2018-08-01T07:15:06+00:00,36220
2018-08-01T07:20:05+00:00,49277
2018-08-01T07:25:05+00:00,56430
2018-08-01T07:30:05+00:00,54960
2018-08-01T07:35:05+00:00,62440
2018-08-01T07:40:05+00:00,64357
2018-08-01T07:45:06+00:00,33516
2018-08-01T07:55:05+00:00,66483
2018-08-01T08:00:07+00:00,58720
2018-08-01T08:05:05+00:00,52306
2018-08-01T08:10:07+00:00,58956
2018-08-01T08:15:10+00:00,45080
2018-08-01T08:20:05+00:00,59620
2018-08-01T08:25:05+00:00,57803
2018-08-01T08:30:06+00:00,71797
2018-08-01T08:35:05+00:00,60695
2018-08-01T08:40:05+00:00,86887
2018-08-01T08:45:05+00:00,87031
2018-08-01T08:50:05+00:00,34597
2018-08-01T08:55:05+00:00,84939
2018-08-01T09:00:07+00:00,90513
2018-08-01T09:05:05+00:00,91432
2018-08-01T09:10:05+00:00,92070
2018-08-01T09:15:10+00:00,92325
2018-08-01T09:20:06+00:00,92599
2018-08-01T09:25:04+00:00,92357
2018-08-01T09:30:05+00:00,93219
2018-08-01T09:35:05+00:00,96072
2018-08-01T09:40:05+00:00,100302
2018-08-01T09:45:05+00:00,43466
2018-08-01T09:50:05+00:00,99181
2018-08-01T09:55:05+00:00,98482
2018-08-01T10:00:06+00:00,103164
2018-08-01T10:05:05+00:00,103464
2018-08-01T10:10:05+00:00,98843
2018-08-01T10:15:08+00:00,98131
2018-08-01T10:20:05+00:00,98621
2018-08-01T10:25:05+00:00,99816
2018-08-01T10:30:05+00:00,101105
2018-08-01T10:35:05+00:00,100831
2018-08-01T10:40:05+00:00,98946
2018-08-01T10:45:05+00:00,99365
2018-08-01T10:50:07+00:00,98788
2018-08-01T10:55:05+00:00,100302
2018-08-01T11:00:05+00:00,99682
2018-08-01T11:05:08+00:00,99635
2018-08-01T11:10:05+00:00,99882
2018-08-01T11:15:16+00:00,100037
2018-08-01T11:20:05+00:00,100225
2018-08-01T11:25:05+00:00,99741
2018-08-01T11:30:05+00:00,99537
2018-08-01T11:35:05+00:00,99256
2018-08-01T11:40:05+00:00,98667
2018-08-01T11:45:05+00:00,97480
2018-08-01T11:50:05+00:00,97597
2018-08-01T11:55:05+00:00,97436
2018-08-01T12:00:05+00:00,96697
2018-08-01T12:05:06+00:00,96565
2018-08-01T12:10:05+00:00,95623
2018-08-01T13:05:09+00:00,88180
2018-08-01T13:10:05+00:00,84046
2018-08-01T13:15:06+00:00,79874
2018-08-01T13:15:06+00:00,79874
2018-08-01T13:20:05+00:00,87794
2018-08-01T13:20:05+00:00,87794
2018-08-01T13:25:05+00:00,85790
2018-08-01T13:25:05+00:00,85790
2018-08-01T13:30:05+00:00,84728
2018-08-01T13:30:05+00:00,84728
2018-08-01T13:35:05+00:00,83834
2018-08-01T13:35:05+00:00,83834
2018-08-01T13:40:05+00:00,83417
2018-08-01T13:40:05+00:00,83417
2018-08-01T13:45:05+00:00,66780
2018-08-01T13:45:05+00:00,66780
2018-08-01T13:50:05+00:00,79410
2018-08-01T13:50:05+00:00,79410
2018-08-01T13:55:05+00:00,78437
2018-08-01T13:55:05+00:00,78437
2018-08-01T14:00:05+00:00,71357
2018-08-01T14:00:05+00:00,71357
2018-08-01T14:05:09+00:00,71104
2018-08-01T14:05:09+00:00,71104
2018-08-01T14:10:05+00:00,75346
2018-08-01T14:10:05+00:00,75346
2018-08-01T14:15:05+00:00,70583
2018-08-01T14:15:05+00:00,70583
